ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,TotStats
158023,L. Messi,31,Argentina,94,94,FC Barcelona,€110.5M,€565K,2217
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,€77M,€405K,2228
190871,Neymar Jr,26,Brazil,92,92,Paris Saint-Germain,€108M,€290K,2150
193080,De Gea,27,Spain,91,93,Manchester United,€72M,€260K,1478
192985,K. De Bruyne,27,Belgium,91,92,Manchester City,€102M,€355K,2279
183277,E. Hazard,27,Belgium,91,91,Chelsea,€93M,€340K,2142
177003,L. Modrić,32,Croatia,91,91,Real Madrid,€67M,€420K,2286
176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,€80M,€455K,2349
202126,H. Kane,24,England,90,92,Tottenham Hotspur,€96.5M,€210K,2177
200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,€68M,€94K,1328
188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,€205K,2151
182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,€125K,1936
168542,David Silva,32,Spain,90,90,Manchester City,€60M,€285K,2108
155862,Sergio Ramos,32,Spain,90,90,Real Madrid,€44M,€310K,2238
138956,G. Chiellini,33,Italy,90,90,Juventus,€31M,€225K,1854
215914,N. Kanté,27,France,89,90,Chelsea,€63M,€225K,2187
211110,P. Dybala,24,Argentina,89,94,Juventus,€89M,€205K,2092
209331,M. Salah,26,Egypt,89,90,Liverpool,€78.5M,€265K,2174
203376,V. van Dijk,26,Netherlands,89,91,Liverpool,€67M,€225K,2076
194765,A. Griezmann,27,France,89,89,Atlético Madrid,€71M,€145K,2293
192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,€240K,1346
192119,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,€240K,1311
189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,€315K,2065
182521,T. Kroos,28,Germany,89,89,Real Madrid,€66M,€340K,2167
179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,€200K,2161
153079,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,€300K,2105
231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,€82M,€100K,2123
201024,K. Koulibaly,27,Senegal,88,91,Napoli,€60M,€135K,1692
198219,L. Insigne,27,Italy,88,88,Napoli,€62M,€165K,2017
195864,P. Pogba,25,France,88,91,Manchester United,€73M,€255K,2251
190460,C. Eriksen,26,Denmark,88,89,Tottenham Hotspur,€69.5M,€205K,2125
188567,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,€265K,2069
188350,M. Reus,29,Germany,88,88,Borussia Dortmund,€58M,€130K,2188
178603,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,€160K,2027
167948,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,€150K,1335
167495,M. Neuer,32,Germany,88,88,FC Bayern München,€34M,€125K,1465
164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,€165K,2072
162835,S. Handanovič,33,Slovenia,88,88,Inter,€30M,€110K,1262
152729,Piqué,31,Spain,88,88,FC Barcelona,€40M,€285K,1992
212831,Alisson,25,Brazil,87,91,Liverpool,€46M,€135K,1330
205600,S. Umtiti,24,France,87,92,FC Barcelona,€57M,€205K,2147
202652,R. Sterling,23,England,87,89,Manchester City,€62M,€210K,2051
201399,M. Icardi,25,Argentina,87,89,Inter,€62.5M,€130K,1937
200145,Casemiro,26,Brazil,87,89,Real Madrid,€50.5M,€240K,2191
198710,J. Rodríguez,26,Colombia,87,88,FC Bayern München,€59M,€260K,2169
197781,Isco,26,Spain,87,90,Real Madrid,€62.5M,€260K,2127
193041,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,€195K,1345
192387,C. Immobile,28,Italy,87,87,Lazio,€52M,€115K,2009
189509,Thiago,27,Spain,87,87,FC Bayern München,€51.5M,€140K,2202
189332,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,€250K,2240
189242,Coutinho,26,Brazil,87,88,FC Barcelona,€59M,€285K,2169
184087,T. Alderweireld,29,Belgium,87,87,Tottenham Hotspur,€39M,€165K,2056
176676,Marcelo,30,Brazil,87,87,Real Madrid,€36.5M,€240K,2280
175943,D. Mertens,31,Belgium,87,87,Napoli,€45M,€135K,2043
173731,G. Bale,28,Wales,87,87,Real Madrid,€51M,€295K,2275
172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,€155K,2089
168651,I. Rakitić,30,Croatia,87,87,FC Barcelona,€46.5M,€260K,2202
167664,G. Higuaín,30,Argentina,87,87,Chelsea,€48.5M,€205K,1954
135507,Fernandinho,33,Brazil,87,87,Manchester City,€20.5M,€200K,2202
1179,G. Buffon,40,Italy,87,87,Paris Saint-Germain,€3.4M,€64K,1320
