ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,TotStats
238049,P. Pomykal,18,United States,68,86,FC Dallas,€1.8M,€2K,1812
233299,Felipe Vizeu,21,Brazil,75,87,Udinese,€12M,€21K,1746
242453,S. van den Berg,16,Netherlands,66,84,PEC Zwolle,€1.1M,€1K,1563
235945,Marc Roca,21,Spain,77,87,RCD Espanyol,€12.5M,€18K,1893
230977,M. Almirón,24,Paraguay,81,85,Newcastle United,€23M,€55K,1996
222716,Everton,19,Brazil,61,74,Grêmio,€400K,€4K,1573
229880,A. Wan-Bissaka,20,England,78,86,Crystal Palace,€13M,€36K,1887
242856,E. Alvarez,16,Mexico,60,81,LA Galaxy,€450K,€1K,1462
228736,W. Faríñez,20,Venezuela,73,87,Millonarios FC,€7.5M,€2K,1283
242444,João Félix,18,Portugal,78,89,SL Benfica,€16.5M,€8K,2005
220085,L. Waldschmidt,22,Germany,74,79,SC Freiburg,€7.5M,€20K,1802
232656,T. Hernández,20,France,77,85,Real Sociedad,€11M,€76K,1957
241487,J. Ferreira,17,Colombia,66,88,FC Dallas,€1.4M,€2K,1576
243055,Rafael Camacho,18,Portugal,62,81,Liverpool,€625K,€8K,1601
243715,W. Saliba,17,France,71,88,AS Saint-Étienne,€4.2M,€7K,1582
233927,Lucas Paquetá,20,Brazil,79,89,Milan,€20.5M,€65K,2116
226568,I. Hagi,19,Romania,72,85,,€0,€0,1782
237161,S. Longstaff,20,England,66,80,Newcastle United,€1.4M,€9K,1694
221363,D. van de Beek,21,Netherlands,81,87,Ajax,€24.5M,€19K,2123
243237,L. Pellegrini,19,Italy,69,83,Cagliari,€2M,€9K,1626
209523,D. González,23,Paraguay,75,81,,€0,€0,1890
226271,Fabián,22,Spain,82,90,Napoli,€32M,€70K,2107
244260,Dani Olmo,20,Spain,78,87,Dinamo Zagreb,€16M,€1K,1971
235243,M. de Ligt,18,Netherlands,85,93,Ajax,€44M,€14K,1974
235569,T. Ndombele,21,France,81,89,Olympique Lyonnais,€26M,€55K,2100
211368,Bruma,23,Portugal,78,82,RB Leipzig,€13.5M,€43K,1949
233049,J. Sancho,18,England,80,91,Borussia Dortmund,€23.5M,€28K,1851
212198,Bruno Fernandes,23,Portugal,85,89,Sporting CP,€50M,€24K,2277
225652,G. Puşcaş,22,Romania,70,78,Palermo,€2.7M,€3K,1721
208615,C. Jullien,25,France,72,76,Toulouse Football Club,€3.4M,€17K,1652
222509,Dani Ceballos,21,Spain,81,88,Real Madrid,€25M,€120K,2059
241096,S. Tonali,18,Italy,73,90,Brescia,€7.5M,€2K,1990
240740,C. Hudson-Odoi,17,England,71,89,Chelsea,€4.7M,€29K,1754
246047,A. Perea,17,Colombia,61,84,Atlético Nacional,€500K,€1K,1579
183574,M. Kruse,30,Germany,83,83,SV Werder Bremen,€25M,€49K,2067
198717,W. Zaha,25,Ivory Coast,82,85,Crystal Palace,€28.5M,€78K,1930
222357,B. Embolo,21,Switzerland,76,85,FC Schalke 04,€12M,€24K,1850
246683,L. Agoume,16,France,63,86,FC Sochaux-Montbéliard,€800K,€1K,1632
228702,F. de Jong,21,Netherlands,84,90,Ajax,€42.5M,€24K,2145
230658,Arthur,21,Brazil,83,90,FC Barcelona,€36M,€140K,2153
232432,L. Jović,20,Serbia,82,88,Eintracht Frankfurt,€31M,€41K,1919
238476,D. Zagadou,19,France,77,85,Borussia Dortmund,€11M,€18K,1586
231866,Rodri,22,Spain,83,88,Atlético Madrid,€29.5M,€58K,2073
237681,T. Kubo,17,Japan,67,84,FC Tokyo,€1.5M,€2K,1715
235790,K. Havertz,19,Germany,83,90,Bayer 04 Leverkusen,€35.5M,€41K,1982
227535,R. Bentancur,21,Uruguay,78,88,Juventus,€16.5M,€66K,1934
231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,€82M,€100K,2123
241184,Junior Firpo,21,Spain,78,85,Real Betis,€12.5M,€17K,1985
226491,K. Tierney,21,Scotland,76,86,Celtic,€11M,€32K,2011
208670,H. Ziyech,25,Morocco,85,86,Ajax,€46M,€34K,2108
230142,Oyarzabal,21,Spain,80,87,Real Sociedad,€21M,€29K,1949
202884,L. Spinazzola,25,Italy,78,79,Juventus,€12.5M,€86K,2066
226110,N. Pépé,23,Ivory Coast,82,88,LOSC Lille,€30.5M,€41K,1996
226456,Pablo Fornals,22,Spain,81,87,Villarreal CF,€24.5M,€36K,2100
231281,T. Alexander-Arnold,19,England,80,89,Liverpool,€19M,€42K,2073
240130,Éder Militão,20,Brazil,80,88,FC Porto,€19M,€12K,1979
9182,De Quintana,35,Spain,71,76,Cádiz CF,€0,€0,1333
236007,E. Barco,19,Argentina,74,89,Atlanta United,€12M,€4K,1713
236632,David Neres,21,Brazil,81,87,Ajax,€24.5M,€21K,1962
237692,P. Foden,18,England,75,90,Manchester City,€13.5M,€42K,1873
